gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3112566347	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/49184459	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.71128	-120.071417	732.0						2020-06-10T11:42:59	10	6	2020	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	49184459		Kathy Dickson	2020-06-11T01:13:46	CC_BY_NC_4_0	Kathy Dickson	Kathy Dickson			2021-05-18T12:26:53.122Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112536462	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/75577738	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.099998	-123.330002	90.0						2021-04-28T13:02:33	28	4	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	75577738		flappyowl06	2021-04-28T20:03:03	CC_BY_NC_4_0	flappyowl06	flappyowl06			2021-05-18T12:01:45.661Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112533902	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76023811	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.626799	-122.22605	44.0						2021-04-30T10:03:11	30	4	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76023811		Larry Thornton	2021-05-01T03:11:20	CC_BY_NC_4_0	Larry Thornton	Larry Thornton			2021-05-18T12:28:27.432Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112522001	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76175367	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.168511	-122.558319	7.0						2021-05-01T08:52:31	1	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76175367		redwolf	2021-05-01T15:52:49	CC_BY_NC_4_0	redwolf	redwolf			2021-05-18T12:51:42.206Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112516463	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/75079634	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata	mollis	VARIETY	Prunus emarginata var. mollis (Douglas) Brewer	Prunus emarginata mollis		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.601958	-122.828925	5.0						2021-04-24T11:06:26	24	4	2021	6449309	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	75079634				CC_BY_NC_4_0	Tom Erler	Tom Erler			2021-05-18T12:01:52.190Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112470341	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76456299	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.303985	-122.524307	7.0						2021-05-01T14:28:51	1	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76456299		Zach Hawn	2021-05-02T07:45:38	CC_BY_NC_4_0	Zach Hawn	Zach Hawn			2021-05-18T12:29:06.223Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112388117	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76254030	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata	mollis	VARIETY	Prunus emarginata var. mollis (Douglas) Brewer	Prunus emarginata mollis		US		Oregon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.090833	-122.955833							2021-04-30T13:48:00	30	4	2021	6449309	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76254030		Bruce Newhouse	2021-05-01T19:30:53	CC_BY_NC_4_0	Bruce Newhouse	Bruce Newhouse			2021-05-18T12:51:45.593Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112372688	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/75922781	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		CA		British Columbia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	49.701566	-123.166466	61.0						2021-04-25T13:21:00	25	4	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	75922781		judith holm	2021-05-01T03:56:31	CC_BY_NC_4_0	Roslyn	Roslyn			2021-05-18T12:02:05.456Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112366857	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76043311	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.311674	-122.526292	61.0						2021-04-30T16:37:00	30	4	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76043311		Alex Wright	2021-05-01T05:06:21	CC_BY_4_0	giantcicada	giantcicada			2021-05-18T12:02:12.664Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112339261	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76392821	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		CA		British Columbia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	49.13926	-122.791117							2021-05-01T13:42:00	1	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76392821		John D Reynolds	2021-05-02T02:33:06	CC_BY_NC_4_0	John D Reynolds	John D Reynolds			2021-05-18T12:27:30.249Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112328672	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/75878089	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.21565	-122.406331	1100.0						2021-04-30T10:44:34	30	4	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	75878089		redwolf	2021-04-30T17:45:00	CC_BY_NC_4_0	redwolf	redwolf			2021-05-18T12:02:07.117Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
