genus,species,gbif_name,accepted_name,notes,gbif_count,gbif_date,include
Tiedemannia,canbyi,Tiedemannia canbyi,Tiedemannia canbyi,"Rare, also known as Oxypolis canbyi",8,2022-05-18,TRUE
Papilio,appalachiensis,Papilio appalachiensis,Papilio appalachiensis,,128,2022-05-18,TRUE
Papilio,aristodemus,Papilio aristodemus,Papilio aristodemus,,44,2022-05-18,TRUE
Papilio,brevicauda,Papilio brevicauda,Papilio brevicauda,,647,2022-05-18,TRUE
Papilio,canadensis,Papilio canadensis,Papilio canadensis,,15835,2022-05-18,TRUE
Papilio,cresphontes,Papilio cresphontes,Papilio cresphontes,includes some observations that are likely P. rumiko,16747,2022-05-18,TRUE
Papilio,eurymedon,Papilio eurymedon,Papilio eurymedon,,5300,2022-05-18,TRUE
Papilio,glaucus,Papilio glaucus,Papilio glaucus,,51676,2022-05-18,TRUE
Papilio,indra,Papilio indra,Papilio indra,,1336,2022-05-18,TRUE
Papilio,machaon,Papilio machaon,Papilio machaon,"for now, including P. machaon oregonius",3404,2022-05-18,TRUE
Papilio,multicaudata,Papilio multicaudata,Papilio multicaudata,,7417,2022-05-18,TRUE
Papilio,palamedes,Papilio palamedes,Papilio palamedes,,5091,2022-05-18,TRUE
Papilio,polyxenes,Papilio polyxenes,Papilio polyxenes,was previously referred to by incorrect P. polibetes,30906,2022-05-18,TRUE
Papilio,rumiko,Papilio rumiko,Papilio rumiko,includes at least some P. cresphontes – see Long Island observation,5533,2022-05-18,TRUE
Papilio,rutulus,Papilio rutulus,Papilio rutulus,,10638,2022-05-18,TRUE
Papilio,troilus,Papilio troilus,Papilio troilus,,19385,2022-05-18,TRUE
Papilio,zelicaon,Papilio zelicaon,Papilio zelicaon,,9142,2022-05-18,TRUE
Pastinaca,sativa,Pastinaca sativa,Pastinaca sativa,,4367,2022-05-18,TRUE
Perideridia,bolanderi,Perideridia bolanderi,Perideridia bolanderi,,372,2022-05-18,TRUE
Perideridia,gairdneri,Perideridia gairdneri,Perideridia gairdneri,,663,2022-05-18,TRUE
Perideridia,kelloggii,Perideridia kelloggii,Perideridia kelloggii,,314,2022-05-18,TRUE
Persea,americana,Persea americana,Persea americana,,2662,2022-05-18,TRUE
Persea,borbonia,Persea borbonia,Persea borbonia,,897,2022-05-18,TRUE
Petroselinum,crispum,Petroselinum crispum,Petroselinum crispum,,193,2022-05-18,TRUE
Peucedanum,cervaria,Peucedanum cervaria,Peucedanum cervaria,Mediterranean species,0,2022-05-18,FALSE
Peucedanum,officinale,Peucedanum officinale,Peucedanum officinale,European species,0,2022-05-18,FALSE
Peucedanum,oreoselinum,Peucedanum oreoselinum,Peucedanum oreoselinum,European species,2,2022-05-18,FALSE
Pimpinella,saxifraga,Pimpinella saxifraga,Pimpinella saxifraga,,162,2022-05-18,TRUE
Platanus,racemosa,Platanus racemosa,Platanus racemosa,,4778,2022-05-18,TRUE
Platanus,wrightii,Platanus wrightii,Platanus wrightii,,1018,2022-05-18,TRUE
Populus,angustifolia,Populus angustifolia,Populus angustifolia,,2088,2022-05-18,TRUE
Populus,balsamifera,Populus balsamifera,Populus balsamifera,,4374,2022-05-18,TRUE
Populus,deltoides,Populus deltoides,Populus deltoides,,12274,2022-05-18,TRUE
Populus,grandidentata,Populus grandidentata,Populus grandidentata,,6017,2022-05-18,TRUE
Populus,tremuloides,Populus tremuloides,Populus tremuloides,,18677,2022-05-18,TRUE
Populus,trichocarpa,Populus trichocarpa,Populus trichocarpa,,2590,2022-05-18,TRUE
Prunus,americana,Prunus americana,Prunus americana,,2519,2022-05-18,TRUE
Prunus,armeniaca,Prunus armeniaca,Prunus armeniaca,European species,503,2022-05-18,FALSE
Prunus,caroliniana,Prunus caroliniana,Prunus caroliniana,,3426,2022-05-18,TRUE
Prunus,cerasus,Prunus cerasus,Prunus cerasus,,224,2022-05-18,TRUE
Prunus,domestica,Prunus domestica,Prunus domestica,,607,2022-05-18,TRUE
Prunus,emarginata,Prunus emarginata,Prunus emarginata,,3412,2022-05-18,TRUE
Prunus,ilicifolia,Prunus ilicifolia,Prunus ilicifolia,,4927,2022-05-18,TRUE
Prunus,pensylvanica,Prunus pensylvanica,Prunus pensylvanica,,3823,2022-05-18,TRUE
Prunus,persica,Prunus persica,Prunus persica,,3653,2022-05-18,TRUE
Prunus,serotina,Prunus serotina,Prunus serotina,Includes P. capuli,24015,2022-05-18,TRUE
Prunus,virginiana,Prunus virginiana,Prunus virginiana,,23205,2022-05-18,TRUE
