"plant","sdm","tune.args","fold","AUC","CBI","IMAE","thr.mss","OR.mss","TSS.mss"
"Ruta graveolens","LASSO","lambda.1se",2,0.523533366,-0.052,0.362434677,0.64358373,0.216216216,0.156253419
"Ruta graveolens","LASSO","lambda.1se",3,0.85099861,0.961,0.766817558,0.42081982,0.184210526,0.640746884
"Ruta graveolens","LASSO","lambda.1se",4,0.864058831,0.973,0.658639221,0.50664659,0.081081081,0.597858536
"Ruta graveolens","MAXENT","fc.L_rm.3",1,0.698558006,0.769,0.549418585,0.67674392,0.263157895,0.421559866
"Ruta graveolens","MAXENT","fc.L_rm.3",2,0.549150214,0.576,0.263136012,0.68189995,0.081081081,0.241022938
"Ruta graveolens","MAXENT","fc.L_rm.3",3,0.722023231,0.524,0.557361915,0.46365595,0.210526316,0.439323405
"Ruta graveolens","MAXENT","fc.L_rm.3",4,0.782474374,0.798,0.603341775,0.43781463,0.135135135,0.457597643
"Ruta graveolens","RF","mtry = 3",1,0.753650025,0.804,0.671847894,0.509,0.421052632,0.52076063
"Ruta graveolens","RF","mtry = 3",2,0.723414566,0.481,0.471481314,0.689,0.459459459,0.457255405
"Ruta graveolens","RF","mtry = 3",3,0.859502488,0.889,0.787787072,0.306,0.131578947,0.669528378
"Ruta graveolens","RF","mtry = 3",4,0.798780002,0.754,0.665727599,0.419,0.108108108,0.567886001
"Sassafras albidum","BRT","tree.5450_node.5_lr.0.01",1,0.614040992790871,0.891,0.540089554839054,0.42931264,0.207123098201936,0.192354708586575
"Sassafras albidum","BRT","tree.5450_node.5_lr.0.01",2,0.653017342799642,0.927,0.564298995207628,0.6449498,0.50882047734348,0.219084189985219
"Sassafras albidum","BRT","tree.5450_node.5_lr.0.01",3,0.652649174222257,0.985,0.569160634095907,0.47347507,0.260373443983402,0.225727507004162
"Sassafras albidum","BRT","tree.5450_node.5_lr.0.01",4,0.759968792332515,0.887,0.6063944202244,0.3140887,0.13109650639917,0.442531982532495
"Sassafras albidum","GAM",NA,1,0.599353364856653,0.897,0.550829226486191,0.58902982,0.404564315352697,0.164388924618819
"Sassafras albidum","GAM",NA,2,0.636338178581819,0.965,0.57270751287269,0.58158856,0.333448633690764,0.203294166706455
"Sassafras albidum","GAM",NA,3,0.680511774276287,0.968,0.574509330988172,0.49305976,0.429460580912863,0.24061988726563
"Sassafras albidum","GAM",NA,4,0.771665175752035,0.958,0.70183609419692,0.39608404,0.0750605326876513,0.443707513510616
