"insect","tune.args","fold","auc.val","cbi.val","IMAE","or.10p","thr","OR.mss","TSS"
"Papilio cresphontes","fc.H_rm.2",1,0.799,0.976,0.647,0.371,0.367,0.221019108280255,0.454348713266969
"Papilio cresphontes","fc.H_rm.2",2,0.512,-0.013,0.503,0.496,0.574,0.744585987261146,0.117600800893751
"Papilio cresphontes","fc.H_rm.2",3,0.729,0.984,0.664,0.011,0.645,0.0720203951561504,0.421486098350343
"Papilio cresphontes","fc.H_rm.2",4,0.643,0.695,0.52,0.3,0.505,0.489483747609943,0.309458051331856
"Papilio cresphontes","fc.LQH_rm.2",1,0.8,0.975,0.648,0.37,0.365,0.214649681528662,0.458345097778409
"Papilio cresphontes","fc.LQH_rm.2",2,0.51,-0.005,0.502,0.502,0.587,0.789171974522293,0.115156043700942
"Papilio cresphontes","fc.LQH_rm.2",3,0.729,0.984,0.664,0.011,0.645,0.0720203951561504,0.421486098350343
"Papilio cresphontes","fc.LQH_rm.2",4,0.642,0.707,0.52,0.3,0.501,0.478648820905035,0.309710967454753
"Papilio cresphontes","fc.L_rm.3",1,0.747,0.724,0.561,0.111,0.511,0.15796178343949,0.431501909014235
"Papilio cresphontes","fc.L_rm.3",2,0.519,-0.04,0.512,0.31,0.63,0.617834394904459,0.133874033341555
"Papilio cresphontes","fc.L_rm.3",3,0.808,0.999,0.603,0.011,0.652,0.263862332695985,0.457999139165487
"Papilio cresphontes","fc.L_rm.3",4,0.494,0.044,0.586,0.156,0.624,0.506692160611855,0.0700274161077221
"Papilio cresphontes","fc.LQ_rm.3",1,0.742,0.763,0.57,0.151,0.495,0.2,0.410821072615092
"Papilio cresphontes","fc.LQ_rm.3",2,0.475,-0.064,0.51,0.294,0.657,0.712101910828026,0.0498570868940702
"Papilio cresphontes","fc.LQ_rm.3",3,0.794,0.998,0.619,0.004,0.675,0.163161249203314,0.435323599281534
"Papilio cresphontes","fc.LQ_rm.3",4,0.386,-0.709,0.492,0.434,0.946,0.998725302740599,0.00127469725940088
"Papilio cresphontes","fc.H_rm.3",1,0.793,0.972,0.641,0.351,0.393,0.184713375796178,0.438447516467704
"Papilio cresphontes","fc.H_rm.3",2,0.482,0.038,0.504,0.571,0.6,0.787898089171974,0.0947898379350869
"Papilio cresphontes","fc.H_rm.3",3,0.739,0.987,0.656,0.018,0.634,0.0586360739324411,0.420801155504788
"Papilio cresphontes","fc.H_rm.3",4,0.602,0.681,0.517,0.34,0.525,0.570427023581899,0.223223770068894
"Papilio cresphontes","fc.LQH_rm.3",1,0.792,0.972,0.641,0.351,0.393,0.185350318471338,0.437810573792545
"Papilio cresphontes","fc.LQH_rm.3",2,0.482,0.039,0.503,0.571,0.601,0.792993630573248,0.0942501051898494
"Papilio cresphontes","fc.LQH_rm.3",3,0.739,0.987,0.656,0.018,0.634,0.0586360739324411,0.420801155504788
"Papilio cresphontes","fc.LQH_rm.3",4,0.598,0.667,0.517,0.337,0.511,0.513065646908859,0.217093083249871
"Papilio eurymedon","fc.L_rm.1",1,0.349,-0.162,0.691,0,0.561,0.0351906158357771,0.00618869450905057
"Papilio eurymedon","fc.L_rm.1",2,0.841,0.928,0.711,0.148,0.519,0.195014662756598,0.62200528736809
"Papilio eurymedon","fc.L_rm.1",3,0.637,0.89,0.586,0,0.659,0.124633431085044,0.30311223365484
"Papilio eurymedon","fc.L_rm.1",4,0.701,0.807,0.699,0.751,0.223,0.277126099706745,0.296897761464622
"Papilio eurymedon","fc.LQ_rm.1",1,0.32,-0.011,0.712,0.001,0.44,0.0117302052785924,0.00206289816968352
"Papilio eurymedon","fc.LQ_rm.1",2,0.882,0.976,0.789,0.189,0.394,0.221407624633431,0.69941531800996
"Papilio eurymedon","fc.LQ_rm.1",3,0.805,0.978,0.662,0.04,0.625,0.189149560117302,0.446688590171715
"Papilio eurymedon","fc.LQ_rm.1",4,0.722,0.935,0.743,0.76,0.22,0.441348973607038,0.321937360449361
"Papilio eurymedon","fc.H_rm.1",1,0.398,0.119,0.715,0.003,0.951,0.860703812316716,0.0979168773384569
"Papilio eurymedon","fc.H_rm.1",2,0.877,0.974,0.828,0.403,0.175,0.233137829912023,0.601650200013164
"Papilio eurymedon","fc.H_rm.1",3,0.774,0.959,0.612,0.081,0.397,0.136363636363636,0.45515852163251
"Papilio eurymedon","fc.H_rm.1",4,0.738,0.952,0.755,0.67,0.266,0.392961876832845,0.370053307548934
"Papilio eurymedon","fc.LQH_rm.1",1,0.385,-0.001,0.711,0.003,0.959,0.86950146627566,0.0960157751036506
"Papilio eurymedon","fc.LQH_rm.1",2,0.877,0.959,0.828,0.402,0.203,0.262463343108504,0.602561594547356
"Papilio eurymedon","fc.LQH_rm.1",3,0.767,0.958,0.611,0.078,0.381,0.118768328445748,0.451559224540765
"Papilio eurymedon","fc.LQH_rm.1",4,0.74,0.987,0.755,0.673,0.275,0.398826979472141,0.373136144172111
"Papilio eurymedon","fc.L_rm.2",1,0.345,-0.078,0.695,0,0.608,0.0674486803519062,0.00841338861361107
"Papilio eurymedon","fc.L_rm.2",2,0.843,0.888,0.684,0.147,0.585,0.234604105571848,0.635408363256083
"Papilio eurymedon","fc.L_rm.2",3,0.644,0.877,0.583,0,0.639,0.112903225806452,0.316769221207036
"Papilio eurymedon","fc.L_rm.2",4,0.69,0.708,0.702,0.783,0.253,0.435483870967742,0.27438597718844
"Papilio eurymedon","fc.LQ_rm.2",1,0.322,0.219,0.713,0,0.503,0.0175953079178885,0.00999089897866323
"Papilio eurymedon","fc.LQ_rm.2",2,0.867,0.942,0.761,0.166,0.388,0.19941348973607,0.692419427969665
"Papilio eurymedon","fc.LQ_rm.2",3,0.802,0.955,0.641,0.007,0.705,0.26099706744868,0.434571333322033
"Papilio eurymedon","fc.LQ_rm.2",4,0.731,0.936,0.734,0.771,0.239,0.439882697947214,0.349976304221983
"Papilio eurymedon","fc.H_rm.2",1,0.398,0.053,0.716,0.003,0.954,0.885630498533724,0.0798867428455861
"Papilio eurymedon","fc.H_rm.2",2,0.903,0.992,0.822,0.352,0.207,0.181818181818182,0.669179324416232
"Papilio eurymedon","fc.H_rm.2",3,0.745,0.913,0.611,0.076,0.419,0.136363636363636,0.443597827990891
"Papilio eurymedon","fc.H_rm.2",4,0.731,0.975,0.752,0.72,0.21,0.312316715542522,0.377216907017131
"Papilio eurymedon","fc.LQH_rm.2",1,0.398,-0.068,0.71,0.003,0.963,0.900293255131965,0.0721205379714833
"Papilio eurymedon","fc.LQH_rm.2",2,0.9,0.966,0.822,0.358,0.196,0.174486803519062,0.659054343613108
"Papilio eurymedon","fc.LQH_rm.2",3,0.75,0.941,0.614,0.072,0.408,0.118768328445748,0.449632442267162
"Papilio eurymedon","fc.LQH_rm.2",4,0.735,0.982,0.751,0.717,0.227,0.321114369501466,0.378451791019141
