"insect","tune.args","fold","auc.val","cbi.val","IMAE","or.10p","thr","OR.mss","TSS"
"Papilio palamedes","fc.LQH_rm.2",3,0.753,0.901,0.581,0.2,0.564,0.295116772823779,0.360751066695637
"Papilio palamedes","fc.LQH_rm.2",4,0.805,0.903,0.702,0.532,0.055,0.074468085106383,0.448733771042109
"Papilio palamedes","fc.L_rm.3",1,0.397,-0.393,0.344,0,0.467,0.0170212765957447,0.0332386887422103
"Papilio palamedes","fc.L_rm.3",2,0.446,-0.356,0.584,0,0.638,0,0.0207612456747406
"Papilio palamedes","fc.L_rm.3",3,0.405,-0.199,0.41,0.386,0.378,0.0233545647558386,0.0738348795694135
"Papilio palamedes","fc.L_rm.3",4,0.83,0.975,0.599,0.774,0.286,0.229787234042553,0.504551513057215
"Papilio palamedes","fc.LQ_rm.3",1,0.647,0.818,0.454,0,0.478,0.0617021276595745,0.318280541317895
"Papilio palamedes","fc.LQ_rm.3",2,0.617,0.793,0.515,0.525,0.142,0.29637526652452,0.212275252506622
"Papilio palamedes","fc.LQ_rm.3",3,0.563,0.574,0.477,0.168,0.369,0.0106157112526539,0.119399306983776
"Papilio palamedes","fc.LQ_rm.3",4,0.851,0.932,0.666,0.647,0.209,0.231914893617021,0.546507380164881
"Papilio palamedes","fc.H_rm.3",1,0.706,0.735,0.609,0.191,0.207,0.0617021276595745,0.409701685165382
"Papilio palamedes","fc.H_rm.3",2,0.628,0.915,0.556,0.009,0.636,0.473347547974414,0.215233766904479
"Papilio palamedes","fc.H_rm.3",3,0.738,0.883,0.567,0.2,0.565,0.286624203821656,0.332770775796452
"Papilio palamedes","fc.H_rm.3",4,0.805,0.916,0.7,0.534,0.07,0.0893617021276596,0.450081453324777
"Papilio palamedes","fc.LQH_rm.3",1,0.701,0.74,0.602,0.189,0.217,0.0617021276595745,0.390204284818762
"Papilio palamedes","fc.LQH_rm.3",2,0.628,0.928,0.556,0.009,0.638,0.473347547974414,0.218693974516936
"Papilio palamedes","fc.LQH_rm.3",3,0.736,0.852,0.563,0.2,0.596,0.333333333333333,0.336265465207752
"Papilio palamedes","fc.LQH_rm.3",4,0.805,0.921,0.7,0.536,0.068,0.0893617021276596,0.448921360517352
"Papilio polyxenes","fc.L_rm.1",1,0.698,0.8,0.512,0.411,0.402,0.314029561424764,0.377399010003808
"Papilio polyxenes","fc.L_rm.1",2,0.447,-0.876,0.545,0,0.629,0.00218076084322749,0.00108484147897858
"Papilio polyxenes","fc.L_rm.1",3,0.613,0.569,0.613,0.028,0.702,0.648727272727273,0.339077605321508
"Papilio polyxenes","fc.L_rm.1",4,0.482,-0.663,0.521,0,0.612,0.272308438409311,0.0138779462569147
"Papilio polyxenes","fc.LQ_rm.1",1,0.737,0.985,0.503,0.418,0.375,0.281075842015992,0.398924157984008
"Papilio polyxenes","fc.LQ_rm.1",2,0.588,0.92,0.551,0.001,0.721,0.476132784104677,0.143968812412014
"Papilio polyxenes","fc.LQ_rm.1",3,0.607,0.327,0.621,0.06,0.727,0.674666666666667,0.280987435328899
"Papilio polyxenes","fc.LQ_rm.1",4,0.413,-0.914,0.5,0.138,0.11,0,0.000330469266358158
"Papilio polyxenes","fc.H_rm.1",1,0.695,0.659,0.397,0.72,0.388,0.392052338260237,0.390804804596905
"Papilio polyxenes","fc.H_rm.1",2,0.606,0.973,0.543,0.085,0.684,0.536467167433971,0.177611207021762
"Papilio polyxenes","fc.H_rm.1",3,0.654,0.105,0.631,0.052,0.717,0.48630303030303,0.216579453067258
"Papilio polyxenes","fc.H_rm.1",4,0.443,-0.883,0.503,0.152,0.121,0,0.000330469266358158
"Papilio polyxenes","fc.LQH_rm.1",1,0.695,0.659,0.397,0.72,0.388,0.392052338260237,0.390804804596905
"Papilio polyxenes","fc.LQH_rm.1",2,0.61,0.976,0.543,0.083,0.676,0.475890477344318,0.185212570551183
"Papilio polyxenes","fc.LQH_rm.1",3,0.654,0.142,0.631,0.052,0.718,0.490909090909091,0.216407982261641
"Papilio polyxenes","fc.LQH_rm.1",4,0.432,-0.913,0.5,0.173,0.124,0,0.000330469266358158
"Papilio polyxenes","fc.L_rm.2",1,0.7,0.785,0.52,0.419,0.511,0.397140780227768,0.374287791200803
"Papilio polyxenes","fc.L_rm.2",2,0.443,-0.916,0.544,0,0.63,0.00121153380179306,0.000602689710543558
"Papilio polyxenes","fc.L_rm.2",3,0.616,0.653,0.614,0.027,0.701,0.639030303030303,0.344339985218034
"Papilio polyxenes","fc.L_rm.2",4,0.479,-0.696,0.522,0,0.622,0.255577109602328,0.0104506498160464
"Papilio polyxenes","fc.LQ_rm.2",1,0.744,0.968,0.522,0.388,0.458,0.308941119457233,0.416773166257053
"Papilio polyxenes","fc.LQ_rm.2",2,0.579,0.894,0.55,0,0.714,0.417009934577175,0.129797032041113
"Papilio polyxenes","fc.LQ_rm.2",3,0.592,0.358,0.614,0.066,0.722,0.693333333333333,0.276733185513673
"Papilio polyxenes","fc.LQ_rm.2",4,0.412,-0.914,0.503,0.1,0.256,0.000242483026188123,8.79862401701459e-05
"Papilio polyxenes","fc.H_rm.2",1,0.708,0.769,0.412,0.724,0.393,0.3811485340441,0.384565751670186
"Papilio polyxenes","fc.H_rm.2",2,0.575,0.981,0.544,0.036,0.69,0.413375333171796,0.12544904999221
"Papilio polyxenes","fc.H_rm.2",3,0.664,-0.219,0.633,0.05,0.736,0.660848484848485,0.272632668144863
"Papilio polyxenes","fc.H_rm.2",4,0.429,-0.907,0.503,0.119,0.2,0,0.000330469266358158
"Papilio polyxenes","fc.LQH_rm.2",1,0.708,0.769,0.412,0.724,0.393,0.3811485340441,0.384565751670186
"Papilio polyxenes","fc.LQH_rm.2",2,0.593,0.99,0.545,0.037,0.697,0.509328810273807,0.155765529348835
"Papilio polyxenes","fc.LQH_rm.2",3,0.664,-0.16,0.633,0.05,0.736,0.658909090909091,0.271246119733925
"Papilio polyxenes","fc.LQH_rm.2",4,0.425,-0.917,0.502,0.128,0.202,0,0.000330469266358158
"Papilio polyxenes","fc.L_rm.3",1,0.7,0.742,0.527,0.428,0.476,0.342137145626363,0.377862854373637
"Papilio polyxenes","fc.L_rm.3",2,0.444,-0.941,0.544,0,0.627,0.00121153380179306,0.000239845008076278
"Papilio polyxenes","fc.L_rm.3",3,0.62,0.687,0.615,0.027,0.702,0.643878787878788,0.346143385070214
"Papilio polyxenes","fc.L_rm.3",4,0.48,-0.669,0.523,0,0.624,0.250242483026188,0.0118196451958872
"Papilio polyxenes","fc.LQ_rm.3",1,0.75,0.886,0.54,0.342,0.487,0.297795008480737,0.416490705804978
"Papilio polyxenes","fc.LQ_rm.3",2,0.572,0.86,0.55,0,0.712,0.387933123334141,0.121137994227543
"Papilio polyxenes","fc.LQ_rm.3",3,0.584,0.371,0.61,0.07,0.717,0.702060606060606,0.273549150036955
"Papilio polyxenes","fc.LQ_rm.3",4,0.412,-0.91,0.506,0.068,0.284,0,0.000330469266358158
"Papilio polyxenes","fc.H_rm.3",1,0.704,0.647,0.42,0.721,0.402,0.378725466440514,0.386988819273772
"Papilio polyxenes","fc.H_rm.3",2,0.56,0.98,0.545,0.005,0.701,0.368306275745093,0.10665743978466
"Papilio polyxenes","fc.H_rm.3",3,0.661,-0.181,0.631,0.049,0.699,0.24630303030303,0.245936437546194
"Papilio polyxenes","fc.H_rm.3",4,0.422,-0.905,0.504,0.08,0.267,0,0.000330469266358158
"Papilio polyxenes","fc.LQH_rm.3",1,0.704,0.647,0.42,0.721,0.402,0.378725466440514,0.386988819273772
"Papilio polyxenes","fc.LQH_rm.3",2,0.586,0.995,0.546,0.006,0.706,0.43009449963654,0.14102306204706
"Papilio polyxenes","fc.LQH_rm.3",3,0.663,-0.182,0.631,0.049,0.701,0.260121212121212,0.248747967479675
"Papilio polyxenes","fc.LQH_rm.3",4,0.43,-0.9,0.505,0.069,0.274,0,0.000330469266358158
"Papilio rumiko","fc.L_rm.1",1,0.582,0.622,0.558,0.317,0.562,0.559701492537313,0.146827272814981
"Papilio rumiko","fc.L_rm.1",2,0.596,0.885,0.48,0.024,0.508,0.186567164179104,0.148415167976373
"Papilio rumiko","fc.L_rm.1",3,0.378,-0.529,0.542,0.088,0.348,0.0447761194029851,0.0244546498277842
"Papilio rumiko","fc.L_rm.1",4,0.694,0.96,0.509,0.006,0.484,0.162313432835821,0.303705984639907
"Papilio rumiko","fc.LQ_rm.1",1,0.637,0.908,0.57,0.172,0.416,0.332089552238806,0.219623440650658
"Papilio rumiko","fc.LQ_rm.1",2,0.711,0.662,0.675,0.356,0.56,0.399253731343284,0.350569590211487
"Papilio rumiko","fc.LQ_rm.1",3,0.382,-0.254,0.568,0.013,0.472,0.0578358208955224,0.0229334098737084
"Papilio rumiko","fc.LQ_rm.1",4,0.756,0.614,0.714,0.287,0.252,0.188432835820896,0.422385472084791
"Papilio rumiko","fc.H_rm.1",1,0.678,0.92,0.626,0.22,0.205,0.0764925373134329,0.278711082596069
"Papilio rumiko","fc.H_rm.1",2,0.72,0.916,0.67,0.323,0.376,0.360074626865672,0.364306998576025
"Papilio rumiko","fc.H_rm.1",3,0.399,0.236,0.593,0.006,0.583,0.0764925373134329,0.0235074626865672
"Papilio rumiko","fc.H_rm.1",4,0.784,0.945,0.779,0.369,0.356,0.41044776119403,0.411466247127745
"Papilio rumiko","fc.LQH_rm.1",1,0.68,0.861,0.634,0.229,0.201,0.0895522388059702,0.273731536242511
"Papilio rumiko","fc.LQH_rm.1",2,0.72,0.911,0.67,0.319,0.381,0.358208955223881,0.366879383998734
"Papilio rumiko","fc.LQH_rm.1",3,0.398,0.254,0.595,0.006,0.575,0.0727611940298507,0.0233926521239955
"Papilio rumiko","fc.LQH_rm.1",4,0.787,0.936,0.78,0.368,0.363,0.416044776119403,0.422512782826506
"Papilio rumiko","fc.L_rm.2",1,0.578,0.604,0.561,0.343,0.536,0.569029850746269,0.140084564250499
"Papilio rumiko","fc.L_rm.2",2,0.537,0.83,0.455,0.015,0.757,0.764925373134328,0.0605163229787458
"Papilio rumiko","fc.L_rm.2",3,0.379,-0.595,0.557,0.039,0.425,0.0447761194029851,0.0283008036739381
"Papilio rumiko","fc.L_rm.2",4,0.712,0.878,0.474,0,0.555,0.210820895522388,0.327597967168319
"Papilio rumiko","fc.LQ_rm.2",1,0.637,0.902,0.551,0.131,0.432,0.307835820895522,0.214788613493618
"Papilio rumiko","fc.LQ_rm.2",2,0.711,0.747,0.671,0.354,0.568,0.408582089552239,0.349015083592637
"Papilio rumiko","fc.LQ_rm.2",3,0.381,-0.053,0.574,0.017,0.491,0.0578358208955224,0.0306257175660161
"Papilio rumiko","fc.LQ_rm.2",4,0.77,0.88,0.693,0.19,0.313,0.190298507462687,0.42800939822386
"Papilio rumiko","fc.H_rm.2",1,0.677,0.915,0.601,0.168,0.255,0.082089552238806,0.277962160754083
"Papilio rumiko","fc.H_rm.2",2,0.729,0.93,0.673,0.362,0.591,0.453358208955224,0.376323769843363
"Papilio rumiko","fc.H_rm.2",3,0.398,0.358,0.607,0.002,0.632,0.0690298507462687,0.0194316877152698
"Papilio rumiko","fc.H_rm.2",4,0.77,0.971,0.785,0.435,0.288,0.39365671641791,0.398298900780425
"Papilio rumiko","fc.LQH_rm.2",1,0.67,0.858,0.621,0.211,0.294,0.208955223880597,0.25419926868566
"Papilio rumiko","fc.LQH_rm.2",2,0.733,0.755,0.678,0.364,0.587,0.442164179104478,0.387517799694109
"Papilio rumiko","fc.LQH_rm.2",3,0.389,0.363,0.607,0.002,0.613,0.0690298507462687,0.0232778415614237
"Papilio rumiko","fc.LQH_rm.2",4,0.774,0.974,0.786,0.422,0.311,0.408582089552239,0.410835386175917
"Papilio rumiko","fc.L_rm.3",1,0.574,0.596,0.56,0.349,0.48,0.496268656716418,0.135599475151714
"Papilio rumiko","fc.L_rm.3",2,0.547,0.883,0.458,0.013,0.533,0.253731343283582,0.0791308475291388
"Papilio rumiko","fc.L_rm.3",3,0.38,-0.557,0.571,0,0.511,0.042910447761194,0.0301664753157291
"Papilio rumiko","fc.L_rm.3",4,0.711,0.853,0.472,0,0.552,0.207089552238806,0.320788395056617
"Papilio rumiko","fc.LQ_rm.3",1,0.636,0.926,0.54,0.127,0.455,0.317164179104478,0.207076286312458
"Papilio rumiko","fc.LQ_rm.3",2,0.71,0.803,0.658,0.334,0.572,0.404850746268657,0.344265861505195
"Papilio rumiko","fc.LQ_rm.3",3,0.378,-0.067,0.58,0.009,0.514,0.0578358208955224,0.0306257175660161
"Papilio rumiko","fc.LQ_rm.3",4,0.775,0.959,0.664,0.149,0.393,0.238805970149254,0.429987372430497
"Papilio rumiko","fc.H_rm.3",1,0.677,0.923,0.583,0.151,0.295,0.085820895522388,0.284896622253953
"Papilio rumiko","fc.H_rm.3",3,0.396,0.329,0.603,0.002,0.642,0.0727611940298507,0.0195464982778417
"Papilio rumiko","fc.H_rm.3",4,0.768,0.976,0.777,0.444,0.293,0.384328358208955,0.399028091166912
"Papilio rumiko","fc.LQH_rm.3",1,0.667,0.845,0.608,0.211,0.317,0.216417910447761,0.253523912435238
"Papilio rumiko","fc.LQH_rm.3",2,0.733,0.656,0.669,0.364,0.593,0.434701492537313,0.387206634671167
"Papilio rumiko","fc.LQH_rm.3",3,0.388,0.296,0.607,0.002,0.629,0.0671641791044776,0.0251435132032147
"Papilio rumiko","fc.LQH_rm.3",4,0.77,0.966,0.776,0.424,0.322,0.412313432835821,0.397950090049061
"Papilio rutulus","fc.L_rm.1",1,0.376,-0.507,0.554,0,0.301,0.001885014137606,-0.000226639344902857
"Papilio rutulus","fc.L_rm.1",2,0.641,0.366,0.556,0.24,0.824,0.579641847313855,0.315734328234734
"Papilio rutulus","fc.L_rm.1",3,0.308,0.257,0.745,0.002,0.683,0.0649717514124294,0.145554564377044
"Papilio rutulus","fc.L_rm.1",4,0.612,0.813,0.588,0.418,0.322,0.241281809613572,0.188063213594267
"Papilio rutulus","fc.LQ_rm.1",1,0.386,0.111,0.564,0.01,0.505,0.0688030160226202,0.0190908479906469
"Papilio rutulus","fc.LQ_rm.1",2,0.684,0.088,0.55,0.177,0.694,0.482563619227144,0.435931678578498
"Papilio rutulus","fc.LQ_rm.1",3,0.672,0.417,0.748,0.006,0.865,0.671374764595104,0.328625235404896
"Papilio rutulus","fc.LQ_rm.1",4,0.562,0.608,0.597,0.516,0.62,0.860508953817154,0.09049671921018
"Papilio rutulus","fc.H_rm.1",1,0.391,0.223,0.586,0.027,0.242,0.0188501413760603,0.00270873092908053
"Papilio rutulus","fc.H_rm.1",2,0.734,0.625,0.629,0.238,0.653,0.451460885956645,0.464291465140534
"Papilio rutulus","fc.H_rm.1",3,0.491,-0.228,0.638,0.025,0.837,0.833333333333333,0.166666666666667
"Papilio rutulus","fc.H_rm.1",4,0.57,0.828,0.64,0.689,0.344,0.542884071630537,0.128080343016188
"Papilio rutulus","fc.LQH_rm.1",1,0.392,0.166,0.584,0.028,0.232,0.0150801131008482,0.00316200961888646
"Papilio rutulus","fc.LQH_rm.1",2,0.725,0.594,0.62,0.235,0.661,0.460885956644675,0.447029403856892
"Papilio rutulus","fc.LQH_rm.1",3,0.491,-0.265,0.638,0.025,0.833,0.824858757062147,0.175141242937853
"Papilio rutulus","fc.LQH_rm.1",4,0.572,0.817,0.642,0.687,0.356,0.561734213006598,0.128312202671587
"Papilio rutulus","fc.L_rm.2",1,0.38,-0.515,0.553,0,0.307,0.000942507068803056,0.000715867723900088
"Papilio rutulus","fc.L_rm.2",2,0.645,0.367,0.556,0.235,0.833,0.582469368520264,0.326621540570645
"Papilio rutulus","fc.L_rm.2",3,0.309,0.235,0.742,0.002,0.682,0.0696798493408662,0.140846466448608
"Papilio rutulus","fc.L_rm.2",4,0.62,0.751,0.614,0.601,0.324,0.395852968897267,0.177896386440536
"Papilio rutulus","fc.LQ_rm.2",1,0.371,-0.021,0.559,0.002,0.52,0.0471253534401508,0.00594263992635002
"Papilio rutulus","fc.LQ_rm.2",2,0.7,0.23,0.578,0.198,0.686,0.450518378887842,0.473462812334729
"Papilio rutulus","fc.LQ_rm.2",3,0.456,0.676,0.747,0,0.65,0.059322033898305,0.151204281891169
"Papilio rutulus","fc.LQ_rm.2",4,0.591,0.792,0.606,0.547,0.513,0.782280867106503,0.115088911129701
"Papilio rutulus","fc.H_rm.2",1,0.38,0.482,0.585,0.024,0.205,0.0122525918944392,0.00101440644718598
"Papilio rutulus","fc.H_rm.2",2,0.763,0.819,0.646,0.238,0.56,0.420358152686145,0.487557207815422
"Papilio rutulus","fc.H_rm.2",3,0.493,-0.029,0.649,0.007,0.807,0.906779661016949,0.0932203389830508
"Papilio rutulus","fc.H_rm.2",4,0.566,0.875,0.642,0.703,0.337,0.568331762488219,0.115525896098682
"Papilio rutulus","fc.LQH_rm.2",1,0.382,0.612,0.583,0.025,0.198,0.0122525918944392,0.00101440644718598
"Papilio rutulus","fc.LQH_rm.2",2,0.743,0.773,0.631,0.237,0.573,0.426955702167766,0.452746492189601
"Papilio rutulus","fc.LQH_rm.2",3,0.483,-0.296,0.648,0.007,0.808,0.895480225988701,0.1045197740113
"Papilio rutulus","fc.LQH_rm.2",4,0.567,0.879,0.64,0.7,0.338,0.562676720075401,0.116539370693037
"Papilio rutulus","fc.L_rm.3",1,0.383,-0.561,0.552,0.001,0.554,0.0631479736098021,0.003187018098324
"Papilio rutulus","fc.L_rm.3",2,0.649,0.316,0.555,0.227,0.835,0.579641847313855,0.34042084861091
"Papilio rutulus","fc.L_rm.3",3,0.326,0.192,0.738,0.002,0.676,0.0725047080979284,0.151179502428387
"Papilio rutulus","fc.L_rm.3",4,0.593,0.705,0.61,0.669,0.482,0.786993402450518,0.138999377332875
"Papilio rutulus","fc.LQ_rm.3",1,0.367,-0.186,0.556,0.001,0.514,0.0386427898209236,0.00613332958206136
"Papilio rutulus","fc.LQ_rm.3",2,0.691,0.178,0.571,0.212,0.699,0.44674835061263,0.44196638292969
"Papilio rutulus","fc.LQ_rm.3",3,0.334,0.292,0.723,0,0.642,0.059322033898305,0.164362176628011
"Papilio rutulus","fc.LQ_rm.3",4,0.617,0.918,0.618,0.587,0.243,0.157398680490104,0.155649282377354
"Papilio rutulus","fc.H_rm.3",1,0.38,0.663,0.581,0.021,0.496,0.0640904806786051,0.00721963540763038
"Papilio rutulus","fc.H_rm.3",2,0.76,0.848,0.639,0.238,0.487,0.38737040527804,0.482535550834813
"Papilio rutulus","fc.H_rm.3",3,0.375,-0.152,0.653,0.003,0.595,0.145009416195857,0.0523590048567748
"Papilio rutulus","fc.H_rm.3",4,0.573,0.791,0.641,0.702,0.282,0.463713477851084,0.127312824366554
"Papilio rutulus","fc.LQH_rm.3",1,0.381,0.642,0.58,0.022,0.494,0.0650329877474081,0.00793550313153046
"Papilio rutulus","fc.LQH_rm.3",2,0.751,0.803,0.647,0.255,0.509,0.397737983034873,0.496462643924375
"Papilio rutulus","fc.LQH_rm.3",3,0.365,-0.214,0.656,0.003,0.606,0.157250470809793,0.0401179502428388
"Papilio rutulus","fc.LQH_rm.3",4,0.574,0.815,0.64,0.694,0.287,0.468426013195099,0.126468262204592
"Papilio troilus","fc.L_rm.1",1,0.507,-0.096,0.521,0.044,0.542,0.0310722100656455,0.0788808905075697
"Papilio troilus","fc.L_rm.1",2,0.805,0.686,0.524,0.385,0.427,0.283085013146363,0.705150280971284
"Papilio troilus","fc.L_rm.1",3,0.545,0.519,0.644,0.008,0.61,0.129978118161926,0.105937374795821
"Papilio troilus","fc.L_rm.1",4,0.525,0.88,0.546,0.014,0.646,0.796847635726795,0.0809097172143813
"Papilio troilus","fc.LQ_rm.1",1,0.524,0.276,0.517,0.063,0.533,0.0354485776805251,0.0739834181506369
"Papilio troilus","fc.LQ_rm.1",2,0.908,0.915,0.561,0.309,0.158,0.184925503943909,0.791545084291385
"Papilio troilus","fc.LQ_rm.1",3,0.575,0.962,0.613,0,0.646,0.611816192560175,0.113535920115881
"Papilio troilus","fc.LQ_rm.1",4,0.389,-0.159,0.541,0.131,0.822,0.926882661996497,0.0299188085917379
"Papilio troilus","fc.H_rm.1",1,0.576,0.776,0.524,0.278,0.588,0.484026258205689,0.12410297577034
"Papilio troilus","fc.H_rm.1",2,0.892,0.628,0.489,0.406,0.255,0.27125328659071,0.724825144781839
"Papilio troilus","fc.H_rm.1",3,0.562,0.53,0.523,0.324,0.342,0.144857768052516,0.126268992510864
"Papilio troilus","fc.H_rm.1",4,0.317,-0.998,0.511,0.201,0.863,1,0
"Papilio troilus","fc.LQH_rm.1",1,0.576,0.776,0.524,0.278,0.588,0.484026258205689,0.12410297577034
"Papilio troilus","fc.LQH_rm.1",2,0.892,0.628,0.489,0.406,0.255,0.27125328659071,0.724825144781839
"Papilio troilus","fc.LQH_rm.1",3,0.562,0.53,0.523,0.324,0.342,0.144857768052516,0.126268992510864
"Papilio troilus","fc.LQH_rm.1",4,0.317,-0.998,0.511,0.201,0.863,1,0
"Papilio troilus","fc.L_rm.2",1,0.508,-0.08,0.52,0.067,0.533,0.0161925601750547,0.0640575701011308
"Papilio troilus","fc.L_rm.2",2,0.842,0.661,0.557,0.285,0.51,0.27125328659071,0.713060438899486
"Papilio troilus","fc.L_rm.2",3,0.494,0.135,0.648,0,0.721,0.72253829321663,0.0521095941073133
"Papilio troilus","fc.L_rm.2",4,0.594,0.995,0.552,0,0.628,0.555166374781086,0.152554213454208
"Papilio troilus","fc.LQ_rm.2",1,0.517,0.244,0.518,0.004,0.577,0.0271334792122538,0.0723975265198984
"Papilio troilus","fc.LQ_rm.2",2,0.935,0.748,0.564,0.298,0.167,0.146362839614373,0.834029317248372
"Papilio troilus","fc.LQ_rm.2",3,0.563,0.951,0.633,0,0.672,0.599124726477024,0.101579498875088
"Papilio troilus","fc.LQ_rm.2",4,0.408,-0.084,0.543,0.124,0.783,0.929509632224168,0.0309683089523025
"Papilio troilus","fc.H_rm.2",1,0.57,0.464,0.518,0.154,0.516,0.151859956236324,0.102439157885615
"Papilio troilus","fc.H_rm.2",2,0.89,0.909,0.521,0.369,0.273,0.226993865030675,0.682810056537952
"Papilio troilus","fc.H_rm.2",3,0.564,0.511,0.549,0.256,0.394,0.150984682713348,0.127184331371159
"Papilio troilus","fc.H_rm.2",4,0.321,-0.991,0.52,0.177,0.105,0.000437828371278481,-0.000437828371278481
"Papilio troilus","fc.LQH_rm.2",1,0.57,0.464,0.518,0.154,0.516,0.151859956236324,0.102439157885615
"Papilio troilus","fc.LQH_rm.2",2,0.89,0.909,0.521,0.369,0.273,0.226993865030675,0.682810056537952
"Papilio troilus","fc.LQH_rm.2",3,0.564,0.511,0.549,0.256,0.394,0.150984682713348,0.127184331371159
"Papilio troilus","fc.LQH_rm.2",4,0.321,-0.991,0.52,0.177,0.105,0.000437828371278481,-0.000437828371278481
"Papilio troilus","fc.L_rm.3",1,0.508,-0.142,0.518,0.074,0.544,0.0161925601750547,0.0562409989703336
"Papilio troilus","fc.L_rm.3",2,0.841,0.699,0.566,0.28,0.529,0.270815074496056,0.709577082366689
"Papilio troilus","fc.L_rm.3",3,0.501,0.252,0.646,0,0.713,0.709409190371991,0.0581964434308255
"Papilio troilus","fc.L_rm.3",4,0.619,0.996,0.554,0,0.635,0.566987740805604,0.197718141547337
"Papilio troilus","fc.LQ_rm.3",1,0.514,0.299,0.518,0.004,0.598,0.0757111597374179,0.0686348538113053
"Papilio troilus","fc.LQ_rm.3",2,0.934,0.777,0.558,0.312,0.178,0.152059596844873,0.832254128645323
"Papilio troilus","fc.LQ_rm.3",3,0.563,0.693,0.641,0,0.686,0.6,0.121830985915493
"Papilio troilus","fc.LQ_rm.3",4,0.429,-0.006,0.548,0.072,0.763,0.935639229422067,0.0340298882249923
"Papilio troilus","fc.H_rm.3",1,0.572,0.429,0.517,0.134,0.538,0.186870897155361,0.115369853235467
"Papilio troilus","fc.H_rm.3",2,0.88,0.911,0.564,0.253,0.463,0.246275197195443,0.659607155745734
"Papilio troilus","fc.H_rm.3",3,0.55,0.473,0.567,0.229,0.312,0.0450765864332604,0.116895244552655
"Papilio troilus","fc.H_rm.3",4,0.319,-0.989,0.525,0.128,0.158,0.000437828371278481,-0.000437828371278481
"Papilio troilus","fc.LQH_rm.3",1,0.572,0.429,0.517,0.134,0.538,0.186870897155361,0.115369853235467
"Papilio troilus","fc.LQH_rm.3",2,0.88,0.911,0.564,0.253,0.463,0.246275197195443,0.659607155745734
"Papilio troilus","fc.LQH_rm.3",3,0.55,0.473,0.567,0.229,0.312,0.0450765864332604,0.116895244552655
"Papilio troilus","fc.LQH_rm.3",4,0.319,-0.989,0.525,0.128,0.158,0.000437828371278481,-0.000437828371278481
"Papilio zelicaon","fc.L_rm.1",1,0.41,-0.863,0.547,0,0.41,0.00150829562594268,0.00296597730470616
"Papilio zelicaon","fc.L_rm.1",2,0.806,0.813,0.579,0.048,0.782,0.422960725075529,0.513976211861408
"Papilio zelicaon","fc.L_rm.1",3,0.665,0.89,0.519,0.026,0.521,0.208144796380091,0.290518305224188
"Papilio zelicaon","fc.L_rm.1",4,0.661,0.741,0.734,0.749,0.169,0.246223564954683,0.27179550037896
"Papilio zelicaon","fc.LQ_rm.1",1,0.404,-0.495,0.561,0,0.518,0.0075414781297134,0.00588134066223289
"Papilio zelicaon","fc.LQ_rm.1",2,0.853,0.887,0.62,0.045,0.639,0.232628398791541,0.634238468075326
"Papilio zelicaon","fc.LQ_rm.1",3,0.655,0.947,0.564,0.056,0.439,0.259426847662142,0.233888660359248
"Papilio zelicaon","fc.LQ_rm.1",4,0.727,0.814,0.749,0.557,0.155,0.188821752265861,0.367095476285638
"Papilio zelicaon","fc.H_rm.1",1,0.4,0.084,0.575,0.003,0.631,0.028657616892911,0.0160851124135766
"Papilio zelicaon","fc.H_rm.1",2,0.861,0.99,0.664,0.077,0.393,0.141993957703928,0.599247283537314
"Papilio zelicaon","fc.H_rm.1",3,0.564,0.434,0.564,0.14,0.283,0.152337858220211,0.170523104346634
"Papilio zelicaon","fc.H_rm.1",4,0.769,0.696,0.758,0.464,0.133,0.143504531722054,0.448218323427911
"Papilio zelicaon","fc.LQH_rm.1",1,0.406,0.049,0.573,0.002,0.657,0.0346907993966817,0.0167633393057791
"Papilio zelicaon","fc.LQH_rm.1",2,0.873,0.997,0.669,0.069,0.417,0.167673716012085,0.619613571275203
"Papilio zelicaon","fc.LQH_rm.1",3,0.566,0.508,0.565,0.139,0.312,0.176470588235294,0.185160427807487
"Papilio zelicaon","fc.LQH_rm.1",4,0.769,0.701,0.759,0.465,0.132,0.145015105740181,0.445312724996857
"Papilio zelicaon","fc.L_rm.2",1,0.41,-0.862,0.545,0,0.395,0.00301659125188536,0.0036948181440879
"Papilio zelicaon","fc.L_rm.2",2,0.797,0.848,0.568,0.044,0.834,0.436555891238671,0.519900565217786
"Papilio zelicaon","fc.L_rm.2",3,0.662,0.841,0.515,0.041,0.503,0.220211161387632,0.276446592623063
"Papilio zelicaon","fc.L_rm.2",4,0.631,0.868,0.727,0.781,0.196,0.365558912386707,0.215468755597483
"Papilio zelicaon","fc.LQ_rm.2",1,0.396,-0.543,0.552,0,0.433,0.00603318250377072,0.00515249982285115
"Papilio zelicaon","fc.LQ_rm.2",2,0.835,0.865,0.597,0.042,0.614,0.234138972809668,0.585680847010152
"Papilio zelicaon","fc.LQ_rm.2",3,0.704,0.884,0.55,0.045,0.595,0.312217194570136,0.342863019333608
"Papilio zelicaon","fc.LQ_rm.2",4,0.709,0.79,0.752,0.724,0.153,0.205438066465257,0.337923942369898
"Papilio zelicaon","fc.H_rm.2",1,0.399,0.283,0.573,0.002,0.632,0.0301659125188537,0.0145768167876339
"Papilio zelicaon","fc.H_rm.2",2,0.89,0.994,0.669,0.054,0.488,0.225075528700906,0.626275822650445
