"species","clim_model","ncells","sdm0","sdm1","sdm2","sdm3","sdm4","sdm5"
"Petroselinum crispum","ensemble_ssp245_2071",1210906,46.2,13,14.1,10.7,8.9,7.1
"Petroselinum crispum","ensemble_ssp370_2041",993463,41.9,13.2,14.7,12.2,10.8,7.2
"Petroselinum crispum","ensemble_ssp370_2071",1210906,38.3,15,15.2,11.9,10.3,9.3
"Alnus incana","current",966214,75.3,5.5,3.1,2.4,2.4,11.2
"Alnus incana","ensemble_ssp245_2041",1214873,68.9,11.9,10.4,3.6,3.5,1.7
"Alnus incana","ensemble_ssp245_2071",1424313,68.2,12.4,10.8,3.8,3.2,1.7
"Alnus incana","ensemble_ssp370_2041",1214873,66.8,12.3,11.5,3.8,3.7,1.9
"Alnus incana","ensemble_ssp370_2071",1424313,58.5,16.2,13.9,4.1,4.8,2.5
"Amelanchier canadensis","current",190071,67.7,9.6,9.3,5.9,2.7,4.8
"Amelanchier canadensis","ensemble_ssp245_2041",302614,14.5,19.7,45.5,13.6,5.4,1.3
"Amelanchier canadensis","ensemble_ssp245_2071",488411,17.6,22.8,35.4,14.6,7.2,2.4
"Amelanchier canadensis","ensemble_ssp370_2041",302614,13,18.4,45.9,14.9,6.1,1.8
"Amelanchier canadensis","ensemble_ssp370_2071",488411,10.6,16.9,36.8,17.2,11.8,6.6
"Betula alleghaniensis","current",161401,64.1,5,4,4.7,4.9,17.2
"Betula alleghaniensis","ensemble_ssp245_2041",288496,56.4,32.8,8.4,2.2,0.1,0
"Betula alleghaniensis","ensemble_ssp245_2071",504399,67,26.1,5.6,1.1,0.1,0
"Betula alleghaniensis","ensemble_ssp370_2041",288496,54,34.7,8.8,2.4,0.1,0
"Betula alleghaniensis","ensemble_ssp370_2071",504399,50.2,34.8,12.6,2,0.2,0.1
"Betula lenta","current",48867,64.5,9.4,5.9,4.2,3.8,12.1
"Betula lenta","ensemble_ssp245_2041",125191,42.4,24.5,30,2.7,0.5,0
"Betula lenta","ensemble_ssp245_2071",263668,53,21.2,20.9,3.7,0.7,0.5
"Betula lenta","ensemble_ssp370_2041",125191,44.7,23.3,29,2.7,0.3,0
"Betula lenta","ensemble_ssp370_2071",263668,52.5,24.7,19.1,2.8,0.3,0.6
"Betula papyrifera","current",662607,74.8,3.9,3.2,3,3.2,12
