"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host"
"Papilio palamedes","total insect","current",277537,37.27,25.23,-75.48,-97.06,31.15,30.23,-80.17,-81.83,NA,NA,NA,NA,NA,NA,NA,42.95,NA
"Papilio palamedes","total insect","ssp245_2041",2591,26.6,23.79,-81.42,-100.17,25.88,25.56,-81.77,-99.56,1439,276384,1153,-808,0,-170,-8,51.91,NA
"Papilio palamedes","total insect","ssp245_2071",20973,26.35,17.81,-96.33,-107.02,21,20.37,-99.06,-99.23,20973,277537,0,-1001,-1135,-2668,-2520,4.29,NA
"Papilio palamedes","total insect","ssp370_2041",292,25.04,24,-90.6,-99.54,24.19,24.1,-99.52,-99.52,292,277537,0,-827,-14,-154,-17,32.88,NA
"Papilio palamedes","total insect","ssp370_2071",17770,39.23,17.92,-94.1,-107.06,23.69,23.52,-98.6,-98.94,17770,277537,0,878,943,-2662,-2533,1.58,NA
"Papilio palamedes","insect + host","current",119208,37.27,25.33,-75.73,-97.06,30.6,30.27,-80.21,-81.4,NA,NA,NA,NA,NA,NA,NA,NA,99.63
"Papilio palamedes","insect + host","ssp245_2041",1345,26.6,25.92,-81.58,-81.9,26.1,25.94,-81.77,-81.81,1076,118938,270,-554,-9,-170,-21,NA,1
"Papilio palamedes","insect + host","ssp245_2071",900,21.6,20.25,-97.92,-99.17,20.79,20.75,-98.85,-98.96,900,119208,0,-1167,-1154,NA,NA,NA,1
"Papilio palamedes","insect + host","ssp370_2041",96,25.94,25.94,-81.69,-81.69,25.94,25.9,-81.69,-81.73,96,119208,0,-573,-14,-154,-17,NA,1
"Papilio palamedes","insect + host","ssp370_2071",280,21.02,20.52,-98.19,-98.67,20.6,20.6,-98.19,-98.21,280,119208,0,NA,NA,NA,NA,NA,1
"Papilio polyxenes","total insect","current",1752900,49.87,17.5,-61.4,-115.56,44.81,30.4,-76.33,-97.73,NA,NA,NA,NA,NA,NA,NA,99.03,NA
"Papilio polyxenes","total insect","ssp245_2041",387243,50.23,17.56,-64.58,-106.4,46.23,41.1,-81.37,-94.56,159397,1525054,227846,63,697,-484,137,99.93,NA
"Papilio polyxenes","total insect","ssp245_2071",577293,54.77,17.67,-54.88,-118.04,47.88,42.44,-87.08,-95.52,328467,1504075,248826,264,867,-811,153,100,NA
"Papilio polyxenes","total insect","ssp370_2041",473266,53.1,17.52,-63.9,-99.79,46.73,41.46,-81.4,-94.77,223359,1502994,249907,130,743,-476,149,100,NA
"Papilio polyxenes","total insect","ssp370_2071",1086552,55.75,19.1,-54.85,-118.19,49.73,42.31,-81,-96.73,743987,1410336,342564,503,811,-762,51,99.99,NA
"Papilio polyxenes","insect + host","current",1735814,49.87,17.5,-61.4,-115.56,44.81,30.4,-76.31,-97.73,NA,NA,NA,NA,NA,NA,NA,NA,2.81
"Papilio polyxenes","insect + host","ssp245_2041",386990,50.23,17.56,-64.58,-106.4,46.23,41.1,-81.35,-94.56,160172,1508996,226819,63,695,-485,135,NA,1.49
"Papilio polyxenes","insect + host","ssp245_2071",577274,54.77,17.67,-54.88,-118.04,47.88,42.46,-87.08,-95.52,328763,1487303,248511,264,857,-811,150,NA,0.69
"Papilio polyxenes","insect + host","ssp370_2041",473266,53.1,17.52,-63.9,-99.79,46.73,41.46,-81.4,-94.77,223847,1486395,249419,130,741,-476,145,NA,1.14
"Papilio polyxenes","insect + host","ssp370_2071",1086449,55.75,19.1,-54.85,-118.19,49.73,42.31,-80.98,-96.73,744837,1394203,341612,500,804,-760,41,NA,0.24
"Papilio rumiko","total insect","current",392604,35.25,15.92,-86.75,-120.67,30.02,21.48,-97.06,-108.15,NA,NA,NA,NA,NA,NA,NA,69.93,NA
"Papilio rumiko","total insect","ssp245_2041",176038,38.85,16.46,-86.81,-122.35,26.23,22.56,-102.23,-110.06,99519,316085,76519,-60,23,-319,13,67.4,NA
"Papilio rumiko","total insect","ssp245_2071",199433,40.56,16.23,-86.81,-122.52,27.9,24.44,-106.27,-111.02,125521,318692,73912,-9,28,-544,13,73.28,NA
"Papilio rumiko","total insect","ssp370_2041",184809,38.92,16.29,-86.81,-122.42,25.85,23.1,-104.02,-110.15,108379,316173,76431,-65,23,-542,13,70.22,NA
"Papilio rumiko","total insect","ssp370_2071",255783,40.69,16.6,-86.81,-122.69,28.6,22.77,-104.5,-110.98,186020,322841,69763,5,23,-476,6,70.62,NA
"Papilio rumiko","insect + host","current",274533,35.25,16.87,-94.06,-120.67,30.85,28.23,-97.31,-102.35,NA,NA,NA,NA,NA,NA,NA,NA,45.98
"Papilio rumiko","insect + host","ssp245_2041",118644,38.85,17.69,-86.81,-122.35,24.73,21.81,-103.81,-106,76114,232003,42530,0,5,-133,4,NA,79.23
"Papilio rumiko","insect + host","ssp245_2071",146142,40.56,17.69,-86.81,-122.52,25.94,23.85,-116.48,-116.65,100642,229032,45500,5,5,-194,4,NA,86.39
"Papilio rumiko","insect + host","ssp370_2041",129767,38.92,17.69,-86.81,-122.42,24.79,22.69,-105.98,-106.48,86542,231308,43225,0,5,-17,17,NA,86.89
"Papilio rumiko","insect + host","ssp370_2071",180643,40.69,17.71,-86.81,-122.69,26.23,20.94,-104.9,-109.69,137511,231401,43132,5,0,-117,4,NA,88
"Papilio rutulus","total insect","current",520556,51.77,30.94,-104.94,-126.04,49.54,34.83,-113.9,-123.98,NA,NA,NA,NA,NA,NA,NA,99.97,NA
"Papilio rutulus","total insect","ssp245_2041",656357,50.62,30.71,-104.94,-125.06,48.31,35.5,-112.87,-123.48,318289,182488,338068,-127,5,0,4,99.48,NA
"Papilio rutulus","total insect","ssp245_2071",668455,50.56,23.73,-104.98,-125.12,48.56,35.44,-114.48,-123.31,319287,171389,349168,-144,5,-11,4,99.75,NA
"Papilio rutulus","total insect","ssp370_2041",662607,50.6,30.81,-104.98,-125.15,48.54,35.67,-115.1,-123.54,314758,172707,347850,-139,5,-7,4,99.71,NA
"Papilio rutulus","total insect","ssp370_2071",681525,58.42,23.73,-104.98,-131.87,50.1,36.98,-115.35,-123.73,317952,156983,363573,-9,5,-71,3,99.8,NA
"Papilio rutulus","insect + host","current",520380,51.77,30.94,-104.94,-126.04,49.54,34.83,-113.9,-123.98,NA,NA,NA,NA,NA,NA,NA,NA,0.23
"Papilio rutulus","insect + host","ssp245_2041",652948,50.62,30.75,-104.94,-125.06,48.31,35.5,-112.9,-123.48,316651,184083,336297,-127,5,0,4,NA,1.3
"Papilio rutulus","insect + host","ssp245_2071",666770,50.56,23.73,-104.98,-125.12,48.56,35.44,-114.48,-123.31,318457,172067,348313,-144,5,-11,4,NA,1.49
"Papilio rutulus","insect + host","ssp370_2041",660708,50.6,30.81,-104.98,-125.15,48.54,35.67,-115.1,-123.54,313743,173415,346965,-139,5,-7,4,NA,1.25
"Papilio rutulus","insect + host","ssp370_2071",680150,58.42,23.73,-104.98,-131.87,50.1,36.98,-115.35,-123.73,317317,157547,362834,-9,5,-71,3,NA,1.4
"Papilio troilus","total insect","current",560104,44.21,26.9,-69.15,-95.69,42.19,36.4,-78.52,-86.23,NA,NA,NA,NA,NA,NA,NA,96.56,NA
"Papilio troilus","total insect","ssp245_2041",241969,46.98,26.27,-64.77,-95.31,43.73,39.02,-80.9,-86.35,133432,451567,108537,97,146,-146,0,94.06,NA
"Papilio troilus","total insect","ssp245_2071",305831,47.85,26.4,-62.12,-90.35,45.9,40.15,-74.31,-86.02,205938,460211,99893,264,74,-144,-23,91.36,NA
"Papilio troilus","total insect","ssp370_2041",223203,46.98,26.31,-65.92,-95.23,44.35,39.44,-80.67,-86.44,125845,462746,97359,123,141,-125,0,93.34,NA
"Papilio troilus","total insect","ssp370_2071",258212,49.23,27.77,-60.58,-89.54,46.44,41.94,-74.06,-85.1,203819,505711,54394,375,555,-29,181,89.74,NA
"Papilio troilus","insect + host","current",540842,44.17,26.9,-69.77,-95.69,42.19,36.4,-78.65,-86.19,NA,NA,NA,NA,NA,NA,NA,NA,9.14
