"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host","phost_insect"
"Papilio glaucus","insect + host","ssp585_2071",246705,49.56,33.85,-70.23,-95.06,45.48,39.73,-75.98,-88.52,147186,1094511,99519,204,878,-37,379,NA,0,NA
"Papilio indra","total insect","current",338398,49.46,31.85,-105.1,-124.1,44.1,37.23,-113.9,-121.6,NA,NA,NA,NA,NA,NA,NA,86.0818,NA,NA
"Papilio indra","total insect","ssp245_2041",418969,52.42,34.29,-103.87,-125.88,48.31,39.44,-109.5,-121.31,303637,223066,115332,357,180,209,49,84.5502,NA,NA
"Papilio indra","total insect","ssp245_2071",434409,52.19,34.29,-103.85,-125.81,47.9,39.52,-109.54,-121.12,329641,233630,104768,338,208,352,57,86.616,NA,NA
"Papilio indra","total insect","ssp370_2041",451033,52.38,34.29,-103.9,-125.9,48.35,39.56,-109.5,-121.35,330423,217788,120610,361,176,219,46,87.0406,NA,NA
"Papilio indra","total insect","ssp370_2071",493940,51.48,34.65,-104.06,-123.52,47.63,39.81,-109.15,-121.23,372969,217428,120970,102,314,336,51,94.3125,NA,NA
"Papilio indra","total insect","ssp585_2041",449531,52.48,34.29,-104.02,-125.25,47.52,39.6,-109.52,-121.19,331794,220661,117737,232,204,265,50,88.4032,NA,NA
"Papilio indra","total insect","ssp585_2071",472917,50.81,34.65,-103.77,-123.5,47.35,39.94,-108.75,-121.31,366112,231593,106805,125,321,328,50,91.9546,NA,NA
"Papilio indra","insect + host","current",291299,49.04,32.08,-105.1,-124.1,44.02,37.77,-113.94,-121.56,NA,NA,NA,NA,NA,NA,NA,NA,26.124,NA
"Papilio indra","insect + host","ssp245_2041",354239,50.27,34.29,-104.21,-123.52,44.65,39.21,-112.98,-121.1,241061,178121,113179,-14,125,-11,31,NA,11.0728,NA
"Papilio indra","insect + host","ssp245_2071",376268,50.31,34.29,-104.19,-123.52,45.31,39.31,-112.69,-121.06,272554,187586,103713,0,143,-7,36,NA,12.2788,NA
"Papilio indra","insect + host","ssp370_2041",392582,50.33,34.29,-104.1,-123.54,45.65,39.31,-112.42,-121.12,274057,172774,118525,0,125,-4,29,NA,11.0109,NA
"Papilio indra","insect + host","ssp370_2071",465847,50.29,34.65,-105.31,-123.52,47.79,39.58,-111.98,-121.31,346318,171771,119529,46,171,6,31,NA,11.7861,NA
"Papilio indra","insect + host","ssp585_2041",397400,50.19,34.29,-105.23,-123.54,44.13,39.4,-113.15,-121.1,281351,175250,116050,-14,148,-12,31,NA,10.9192,NA
"Papilio indra","insect + host","ssp585_2071",434869,50.4,34.65,-105.1,-123.5,46.75,39.75,-112.6,-121.31,329262,185692,105607,19,185,13,32,NA,10.6202,NA
"Papilio machaon","total insect","current",1650127,69.77,30.73,-78.79,-168.96,63.9,57.9,-110.77,-122.15,NA,NA,NA,NA,NA,NA,NA,57.0674,NA,NA
